,trace_id,activity,timestamp
0,173688,3,2011-10-01 19:45:13
1,173688,5,2011-10-01 20:17:08
2,173688,6,2011-10-13 18:37:37
3,173691,3,2011-10-01 19:43:13
4,173691,5,2011-10-01 22:36:25
5,173691,6,2011-10-10 19:30:54
6,173691,6,2011-10-10 22:17:34
7,173694,3,2011-10-01 19:35:59
8,173694,5,2011-10-03 21:44:21
9,173694,6,2011-11-05 1:05:01
10,173703,3,2011-10-01 19:40:24
11,173703,3,2011-10-01 21:02:12
12,173706,1,2011-10-01 18:16:49
13,173706,3,2011-10-01 19:50:14
14,173706,3,2011-10-01 23:00:02
15,173709,3,2011-10-01 18:27:07
16,173709,3,2011-11-01 18:15:08
17,173712,1,2011-10-01 18:10:25
18,173712,3,2011-10-01 21:03:35
19,173712,3,2011-10-03 22:42:55
20,173715,3,2011-10-01 19:46:06
21,173715,5,2011-10-09 0:38:17
22,173715,6,2011-10-13 19:05:28
23,173718,3,2011-10-01 18:44:43
24,173718,5,2011-10-01 18:44:58
25,173718,6,2011-10-13 20:36:12
26,173718,4,2011-10-13 21:05:42
27,173718,6,2011-10-19 16:53:21
28,173718,4,2011-10-19 17:17:01
29,173718,6,2011-10-27 17:18:01
30,173721,3,2011-10-01 19:20:50
31,173721,5,2011-10-01 19:22:52
32,173721,6,2011-10-10 18:06:09
33,173721,4,2011-10-10 18:20:04
34,173721,4,2011-10-11 0:28:29
35,173724,1,2011-10-01 20:12:27
36,173724,3,2011-10-01 21:27:08
37,173724,3,2011-10-03 23:48:20
38,173730,3,2011-10-01 21:55:31
39,173730,5,2011-10-01 23:48:39
40,173730,6,2011-10-19 21:20:05
41,173730,4,2011-10-19 21:32:57
42,173730,6,2011-10-20 18:08:56
43,173730,4,2011-10-20 18:27:48
44,173730,6,2011-10-20 20:00:47
45,173730,4,2011-10-20 20:32:33
46,173730,6,2011-10-21 14:15:05
47,173730,6,2011-10-21 17:08:21
48,173733,1,2011-10-01 22:54:56
49,173736,3,2011-10-01 23:40:09
50,173736,5,2011-10-04 20:59:22
51,173736,6,2011-10-13 18:49:09
52,173736,4,2011-10-13 19:03:37
53,173736,6,2011-10-18 20:01:37
54,173739,3,2011-10-01 23:27:27
55,173739,5,2011-10-02 0:00:21
56,173739,6,2011-10-13 21:12:26
57,173739,4,2011-10-14 4:01:47
58,173739,6,2011-10-15 0:22:55
59,173742,1,2011-10-01 22:56:22
60,173742,3,2011-10-01 23:50:01
61,173742,3,2011-10-14 23:52:09
62,173745,1,2011-10-01 23:21:27
63,173745,3,2011-10-01 23:58:47
64,173745,5,2011-10-08 20:45:59
